và,and
của,of
các,*plural marker*
là,is/are
có,have/has
trong,in/inside
được,*passive marker*
cho,for/give
đã,already *(passive marker)*
hoặc,or
nhưng,but
mà,but; that; which; contrastive linker
nên,should; therefore
vì,because; for
bởi vì,because
do,because of; due to
nếu,if
thì,then; topic-comment marker
dù,although; even if
mặc dù,although
tuy,although; admittedly
tuy nhiên,however
còn,still; remaining; whereas
chứ,rather; of course; emphatic correction
hay,or; often; good
với,with; and
để,in order to; so that
khi,when
trong khi,while; whereas
trước khi,before
sau khi,after
cho đến khi,until
miễn là,provided that
trừ khi,unless
nhờ,thanks to; by means of
theo,according to; following
về,about; regarding
đối với,with regard to; toward
ngoài ra,besides; moreover
thay vì,instead of
bằng,by; with; equal to
từ,from; since
đến,to; until
theo như,according to; as stated by
so với,compared with
liên quan đến,related to; concerning
đang,progressive aspect marker
sẽ,future marker; will
từng,once; ever; used to
vừa,just; both
mới,just; only then; newly
sắp,about to; soon
chưa,not yet; ever in questions
rồi,already; then; completed
vẫn,still; nevertheless
cứ,keep; just go on; every
lại,again; back; unexpectedly
đều,all; each equally
cũng,also; too; even
chỉ,only; merely
chính,exactly; precisely; main
ngay,immediately; right; even
cả,all; even
tận,as far as; all the way; as late as
hầu như,almost; virtually
gần như,almost; nearly
hoàn toàn,completely
phần lớn,mostly; for the most part
chủ yếu,mainly; primarily
đặc biệt,especially; particular
ít nhất,at least
nhiều nhất,at most; the most
càng,increasingly; the more
càng ngày càng,more and more
khá,rather; fairly
hơi,slightly; somewhat
quá,too; excessively; very
lắm,very; a lot
thật,really; truly
thực sự,actually; truly
đúng là,indeed; it really is
có lẽ,perhaps; probably
chắc,probably; surely
chắc chắn,certainly; definitely
dường như,seemingly; apparently
hình như,apparently; it seems
có thể,can; may; possibly
không thể,cannot; impossible
phải,must; have to; correct
bị,be subjected to; adverse passive marker
hãy,please; imperative marker
đừng,do not; negative imperative
chớ,do not; lest
không,not; no; question marker
chẳng,not; by no means
chả,not; colloquial negative
đâu,where; not at all in negatives
gì,what; anything
nào,which; any; imperative softener
sao,why; how; what
thế nào,how; what ... like
bao giờ,when; ever
bao nhiêu,how much; how many
bao lâu,how long
mỗi,each; every
mọi,every; all
tất cả,all; everything
bất kỳ,any; whichever
bất cứ,any; no matter which
một vài,a few; several
một số,some; a number of
nhiều,many; much
ít,few; little
đủ,enough
thiếu,lacking; insufficient
khác,different; other
khác nhau,different from one another
nhau,each other; one another
tự,self; by oneself
lẫn nhau,mutually; each other
vậy,so; thus; like that
thế,so; like that; then
như,like; as
à,question or realization particle
ạ,polite sentence-final particle
nhé,soft request or friendly confirmation particle
nhỉ,seeking agreement or shared reflection
cơ,emphatic or corrective sentence-final particle
thôi,only; just; stop; sentence-final softener
như vậy,thus; like that
vì vậy,therefore
do đó,therefore; consequently
thế nên,so; therefore
dù vậy,even so; nevertheless
ngược lại,conversely; on the contrary
mặt khác,on the other hand
thậm chí,even; indeed
chẳng hạn,for example
nói chung,generally speaking
nói cách khác,in other words
cuối cùng,finally; eventually
trước hết,first of all
sau đó,after that; then
đồng thời,at the same time
hiện nay,currently; nowadays
hiện tại,at present
trước đây,previously
từ trước đến nay,up to now; historically
đôi khi,sometimes
thỉnh thoảng,occasionally
thường,usually; often
thường xuyên,frequently; regularly
luôn,always
hiếm khi,rarely
không bao giờ,never
dần dần,gradually
tạm thời,temporarily
lâu dài,long-term
về cơ bản,basically; fundamentally
trên thực tế,in fact; in practice
theo lý thuyết,in theory
ít nhiều,more or less; to some extent
phần nào,partly; somewhat
đáng lẽ,should have; ought to have
cho rằng,think; hold the view that
nghĩ rằng,think that
tin rằng,believe that
nhận ra,realize; recognize
hiểu,understand
biết,know
nhớ,remember; miss
quên,forget
mong,hope; wish
hy vọng,hope
muốn,want
định,intend; plan to
dự định,intend; plan
đồng ý,agree
phản đối,oppose; object
chấp nhận,accept
từ chối,refuse; reject
cho phép,allow; permit
yêu cầu,require; request
đề nghị,propose; request
mong đợi,expect
phụ thuộc,depend
liên quan,relate; be relevant
bao gồm,include; consist of
dẫn đến,lead to; result in
có nghĩa là,mean; signify
được coi là,be considered
dựa vào,rely on; be based on
giả sử,suppose; assume
thừa nhận,admit; acknowledge
phân biệt,distinguish
đánh giá,evaluate; assess
quan trọng,important
cần thiết,necessary
khả thi,feasible
hợp lý,reasonable; logical
rõ ràng,clear; evident
chính xác,accurate; exact
đáng kể,significant; considerable
đáng tin cậy,reliable; trustworthy
